iter	RMSE
0	2866.857805
1	2642.21643
2	2449.038506
3	2269.0364
4	2112.192262
5	1981.877936
6	1858.463485
7	1731.523673
8	1628.397307
9	1534.755432
10	1452.443018
11	1374.53404
12	1288.071405
13	1223.904976
14	1160.122738
15	1102.237966
16	1035.116017
17	974.7947765
18	931.7169724
19	881.788154
20	836.8095082
21	791.4136925
22	756.5101673
23	718.8548908
24	682.3174132
25	651.4896884
26	619.480083
27	592.4723813
28	562.0316406
29	537.8208881
30	511.7835282
31	492.7826557
32	470.4812348
33	451.0258433
34	428.9165953
35	415.1453512
36	398.4016102
37	383.6250296
38	368.4073399
39	355.9891036
40	341.7199006
41	329.2046038
42	320.3223361
43	310.0932538
44	301.6020566
45	294.2235907
46	288.0158989
47	279.3329688
48	273.4529776
49	267.9626001
